shotDistance,shotAngle,is_rebound,goal
16.2788205961,47.489552922,1,0
16.4012194669,37.5685920288,0,0
59.908263203,33.4248111826,0,0
41.5932686862,62.8188889145,0,0
35.0,36.8698976458,0,0
16.0312195419,3.576334375,0,0
6.0827625303,-80.537677792,0,0
5.09901951359,-78.690067526,1,0
16.1245154966,-60.2551187031,0,0
58.2151183113,4.92710994765,0,0
41.7851648316,-21.0375110254,0,0
7.28010988928,15.9453959009,0,0
8.0622577483,29.7448812969,0,0
9.21954445729,12.5288077092,0,0
54.4058820349,-36.0273733851,0,0
17.8044938148,-38.1572265874,0,0
23.1948270095,7.43140797117,0,0
20.0249843945,-87.1375947739,0,0
9.8488578018,-66.0375110254,0,0
11.401754251,-15.2551187031,0,1
15.0332963784,3.81407483429,0,0
29.1547594742,59.0362434679,0,0
39.5600808897,-69.2744411344,0,0
59.4390444069,12.6333619353,0,0
21.0,0.0,1,0
5.83095189485,59.0362434679,0,0
7.61577310586,23.1985905136,1,0
51.0783711565,23.0513009165,0,0
34.7131099154,-41.4964683552,0,0
45.3100430368,22.0362269401,0,0
21.0237960416,87.2736890061,1,0
2.2360679775,-63.4349488229,0,0
61.0573500899,31.6075022462,0,0
43.6004587132,-53.3929251874,0,0
48.0936586256,3.576334375,0,0
26.4196896272,29.4758890032,0,0
32.5576411922,10.6196552762,1,0
39.9624824054,-58.2985703305,0,0
45.2548339959,-45.0,0,0
28.1780056072,-27.4744316263,0,0
21.9317121995,24.227745318,0,0
5.0,0.0,0,0
58.0517010948,-42.2072976343,0,0
65.0,-36.8698976458,0,0
70.8307842679,-30.5475717489,0,0
15.6204993518,39.8055710923,0,1
57.5673518585,17.1759036157,0,0
48.1040538832,43.3153156821,0,0
53.600373133,-14.0362434679,0,0
4.472135955,-26.5650511771,0,0
43.5660418216,31.8659776936,0,0
50.4479930225,39.3693172424,0,0
12.0,0.0,1,1
38.275318418,-33.2748879848,0,0
46.0434577329,34.3803447238,0,0
8.0622577483,-82.8749836511,0,0
36.4005494464,-37.1847064532,0,0
53.7587202229,46.5074357588,0,0
16.1245154966,29.7448812969,0,0
21.6333076528,-56.309932474,0,0
10.7703296143,21.8014094864,0,0
57.3061951276,-29.2488263365,0,0
14.4222051019,-56.309932474,0,0
59.076221951,33.9590598197,0,0
41.0,12.6803834918,0,0
18.0277563773,-3.17983011986,0,0
35.2278299076,83.4801982483,1,0
6.0827625303,80.537677792,1,0
6.0827625303,80.537677792,1,0
20.6155281281,-39.0938588862,0,1
26.2488094968,-72.2553283749,0,0
60.835844697,-25.3013786254,0,0
14.8660687473,47.7263109939,0,0
60.6382717432,13.3487271133,0,0
30.4630924235,-23.1985905136,0,0
27.2029410175,72.8972710309,0,0
52.4976189936,-49.6354634269,0,0
6.32455532034,18.4349488229,0,0
21.9544984001,59.9314171781,0,0
30.6757233004,-19.0256060376,0,0
45.9673797382,-45.8814039966,0,0
37.3363094052,7.69605172202,0,0
33.0151480384,-35.1341930569,0,0
16.1245154966,-60.2551187031,0,0
6.7082039325,-26.5650511771,0,0
32.2024843762,-53.8418145602,0,0
23.3452350599,-9.86580694308,0,0
48.1040538832,-20.6954507341,0,0
7.28010988928,-15.9453959009,0,0
35.8468966579,22.9887168021,0,0
32.6496554346,-49.9697407281,1,0
7.61577310586,-66.8014094864,0,0
21.1896201004,70.7099537808,0,0
16.4924225025,75.9637565321,0,0
8.60232526704,35.537677792,0,0
5.83095189485,30.9637565321,1,0
4.24264068712,45.0,1,0
7.07106781187,-81.8698976458,1,0
9.43398113206,-57.9946167919,1,0
40.6078810085,52.0012675575,0,0
66.2872536767,-33.9297974221,0,0
36.8917334914,-32.8285417914,0,0
26.5706605112,-70.2011236455,0,0
25.0599281723,-28.610459666,0,0
9.05538513814,6.34019174591,0,0
17.0293863659,86.6335393366,1,0
63.1981012373,4.53777250791,0,0
34.205262753,-52.1250163489,0,0
13.0384048104,4.398705355,0,0
55.2268050859,-5.19442890773,0,0
19.6977156036,66.0375110254,0,0
7.07106781187,-81.8698976458,1,0
40.1995024845,-5.7105931375,0,0
7.61577310586,-23.1985905136,0,1
10.0498756211,5.7105931375,0,0
33.6154726279,-30.3791260114,0,0
29.1204395571,-74.0546040991,0,0
46.7546789102,-41.5317707411,0,0
59.076221951,33.9590598197,0,0
15.0332963784,-3.81407483429,0,0
6.7082039325,-63.4349488229,1,1
33.1209903234,61.1134182331,0,0
13.8924439894,30.2564371635,0,0
52.5547333739,21.1940564815,0,0
48.8364617883,10.6196552762,0,0
19.4164878389,-11.8886580396,0,0
40.8166632639,30.9637565321,0,0
22.4722050542,-20.8544580396,0,0
47.5078940809,40.7321066997,0,0
38.0131556175,-35.3624618871,0,0
10.295630141,-60.9453959009,0,0
62.8171950982,13.8150253413,0,0
45.3100430368,-22.0362269401,0,0
11.7046999107,-70.0168934781,0,0
47.4236228055,-24.9439052634,0,0
17.88854382,-26.5650511771,0,0
56.5154846038,-13.2985703305,0,0
30.8058436015,-35.7538872544,0,0
44.598206242,-42.2736890061,0,0
59.0338885726,10.7388971009,0,0
18.3575597507,-60.6422464572,0,0
50.0899191455,-3.43363036245,0,0
11.0453610172,84.8055710923,1,1
13.6014705087,53.9726266149,0,0
5.38516480713,-68.1985905136,1,0
13.6014705087,-36.0273733851,0,0
56.6127194189,17.4747742563,0,0
26.4007575649,37.303948278,0,1
38.9101529167,25.9065079995,0,0
23.4307490277,50.1944289077,0,0
41.1946598481,-5.57219780396,0,0
9.21954445729,-12.5288077092,1,0
72.1110255093,33.690067526,0,0
14.3178210633,-12.094757077,1,0
48.0520551069,-12.0114783864,0,0
37.0135110466,51.5819446552,0,0
14.0356688476,85.91438322,0,0
25.9422435421,27.5528115767,0,1
48.2597140481,34.0193499898,0,1
21.0950231097,-5.44033203101,0,0
56.4003546088,37.0730733173,0,0
87.2983390449,9.89392066974,0,0
59.076221951,33.9590598197,0,0
19.6468827044,75.2564371635,0,0
36.7695526217,-45.0,0,1
31.9530906173,20.1363034282,0,0
62.4819974073,39.8055710923,0,0
62.6418390535,16.699244234,0,0
43.1856457634,47.8155566842,0,0
23.0217288664,-2.489552922,0,0
44.6542271235,34.0459373566,0,0
21.2602916255,-41.1859251657,0,0
25.9422435421,62.4471884233,0,0
69.8355210477,29.1342921972,0,0
39.4081209905,-35.7066914006,0,0
5.83095189485,30.9637565321,1,0
27.1661554144,-6.34019174591,0,0
16.0312195419,-86.423665625,1,0
22.0907220344,-84.8055710923,0,0
17.8044938148,51.8427734126,0,0
33.2866339542,-32.7352262721,0,0
51.7397332811,-41.0817511359,0,0
13.416407865,63.4349488229,0,0
47.0106370942,-1.21887523513,0,0
94.4298681562,-24.3937393862,0,0
51.7397332811,-48.9182488641,0,0
62.6418390535,16.699244234,0,0
38.4707681233,-8.9726266149,0,0
21.3775583264,-10.7842978676,0,0
59.0931468108,-23.9624889746,0,0
81.9878039711,30.0049208708,0,0
87.3613186714,15.9453959009,0,0
12.6491106407,18.4349488229,0,0
48.2700735446,13.1725534233,0,0
41.5932686862,-62.8188889145,0,0
15.1327459504,7.59464336859,0,0
47.2016948848,53.6156481842,0,0
15.8113883008,18.4349488229,0,1
11.6619037897,-59.0362434679,0,0
64.5135644652,-18.9966541555,0,0
92.6984358013,20.1943342452,0,0
52.3545604508,28.5231186063,0,0
24.7386337537,-14.0362434679,0,0
30.0665927567,-86.1859251657,0,0
5.38516480713,-21.8014094864,0,0
41.7851648316,21.0375110254,0,0
31.064449134,-3.69138598645,0,0
33.5261092285,-17.3540246363,0,0
24.6981780705,-21.3706222693,0,0
21.1896201004,-70.7099537808,1,0
61.8142378421,-9.30994017499,0,0
35.902646142,12.8750015596,0,0
41.4366987102,-19.7468366054,0,0
45.4862616622,33.3407073465,0,0
44.9444101085,-32.2756443146,0,1
19.9248588452,-17.5255683737,0,0
7.61577310586,-66.8014094864,0,0
47.0106370942,23.8387401832,0,0
18.8679622641,32.0053832081,0,0
18.0,0.0,0,1
16.9705627485,-45.0,0,0
14.0356688476,-4.08561677997,1,1
